Date;Animal;SampleID;Bouton;Genotype;Treatment;Condition;docked_SV;presyn_volume_um3;Density
20201001;1;20201001_1_1;20201001_1_1_001;WT;Control;WT;84;0.958072;87.6760827996226
20201001;1;20201001_1_1;20201001_1_1_002;WT;Control;WT;73;1.19325;61.1774565262937
20201001;1;20201001_1_1;20201001_1_1_004;WT;Control;WT;82;1.45409;56.3926579510209
20201001;1;20201001_1_1;20201001_1_1_006;WT;Control;WT;132;1.28441;102.770922057598
20201001;1;20201001_1_1;20201001_1_1_009;WT;Control;WT;111;1.14054;97.3223210058393
20201001;1;20201001_1_1;20201001_1_1_010;WT;Control;WT;45;0.723883;62.1647420922994
20201001;1;20201001_1_1;20201001_1_1_011;WT;Control;WT;80;1.11499;71.7495224172414
20201001;1;20201001_1_1;20201001_1_1_012;WT;Control;WT;45;0.819519;54.9102583344621
20201001;2;20201001_2_3;20201001_2_3_004;WT;Control;WT;29;0.243238;119.224792178854
20201001;2;20201001_2_3;20201001_2_3_005;WT;Control;WT;55;0.374746;146.766076222295
20201001;2;20201001_2_3;20201001_2_3_006;WT;Control;WT;45;0.366853;122.664936636746
20201001;2;20201001_2_3;20201001_2_3_007;WT;Control;WT;29;0.266779;108.704208352232
20201001;2;20201001_2_3;20201001_2_3_008;WT;Control;WT;63;0.579262;108.759076203859
20201001;2;20201001_2_3;20201001_2_3_009;WT;Control;WT;18;0.330373;54.483871260666
20201126;3;20201126_3_1;20201126_3_1_001;WT;Control;WT;154;1.80416;85.3582830791061
20201126;3;20201126_3_1;20201126_3_1_002;WT;Control;WT;118;2.56773;45.9549874792132
20201126;3;20201126_3_1;20201126_3_1_003;WT;Control;WT;117;2.24687;52.0724385478466
20201126;3;20201126_3_1;20201126_3_1_004;WT;Control;WT;73;0.666895;109.462509090636
20201126;3;20201126_3_1;20201126_3_1_005;WT;Control;WT;145;2.34391;61.8624435238554
20201001;1;20201001_1_2;20201001_1_2_001;WT;FSK;WT + FSK;107;1.06106;100.842553672742
20201001;1;20201001_1_2;20201001_1_2_002;WT;FSK;WT + FSK;90;0.530367;169.693815791707
20201001;1;20201001_1_2;20201001_1_2_003;WT;FSK;WT + FSK;113;0.64341;175.626738782425
20201001;1;20201001_1_2;20201001_1_2_005;WT;FSK;WT + FSK;75;0.848881;88.3516064089077
20201001;1;20201001_1_2;20201001_1_2_006;WT;FSK;WT + FSK;29;0.714353;40.5961758402359
20201001;1;20201001_1_2;20201001_1_2_007;WT;FSK;WT + FSK;30;0.973846;30.8056920704095
20201001;2;20201001_2_4;20201001_2_4_001;WT;FSK;WT + FSK;122;0.269068;453.416980094251
20201001;2;20201001_2_4;20201001_2_4_006;WT;FSK;WT + FSK;25;0.617814;40.4652532962995
20201001;2;20201001_2_4;20201001_2_4_009;WT;FSK;WT + FSK;72;0.802263;89.746130632972
20201001;2;20201001_2_4;20201001_2_4_010;WT;FSK;WT + FSK;60;0.498165;120.442022221553
20201126;3;20201126_3_9;20201126_3_9_001;WT;FSK;WT + FSK;46;0.562212;81.8196694485354
20201126;3;20201126_3_9;20201126_3_9_003;WT;FSK;WT + FSK;43;0.577333;74.4804125175592
20201126;3;20201126_3_9;20201126_3_9_004;WT;FSK;WT + FSK;50;0.542877;92.1018941675555
20190924;4;20190924_4_1;20190924_4_1_002;TKO;Control;TKO;140;0.841381;166.393108472856
20190924;4;20190924_4_1;20190924_4_1_003;TKO;Control;TKO;165;1.21412;135.900899416862
20190924;4;20190924_4_1;20190924_4_1_005;TKO;Control;TKO;86;0.464686;185.071209375794
20190924;4;20190924_4_1;20190924_4_1_006;TKO;Control;TKO;96;1.14084;84.1485221415799
20190927;5;20190927_5_3;20190927_5_3_001;TKO;Control;TKO;75;0.536577;139.774906490588
20190927;5;20190927_5_3;20190927_5_3_002;TKO;Control;TKO;53;0.408399;129.775048420785
20190927;5;20190927_5_3;20190927_5_3_003;TKO;Control;TKO;59;1.47974;39.8718693824591
20190927;5;20190927_5_3;20190927_5_3_004;TKO;Control;TKO;66;0.641843;102.828884945384
20190927;5;20190927_5_3;20190927_5_3_005;TKO;Control;TKO;89;0.66552;133.730015626878
20190927;5;20190927_5_3;20190927_5_3_006;TKO;Control;TKO;67;0.481254;139.219622070674
20190927;5;20190927_5_3;20190927_5_3_007;TKO;Control;TKO;48;0.715479;67.0879229159766
20210111;6;20210111_6_3;20210111_6_3_007;TKO;Control;TKO;71;0.49504;143.422753716871
20210111;6;20210111_6_3;20210111_6_3_008;TKO;Control;TKO;47;0.720665;65.217542131226
20210111;6;20210111_6_3;20210111_6_3_009;TKO;Control;TKO;44;0.86462;50.889408063658
20210111;6;20210111_6_3;20210111_6_3_010;TKO;Control;TKO;27;0.720624;37.4675281422767
20210111;6;20210111_6_3;20210111_6_3_011;TKO;Control;TKO;70;0.577441;121.224506053432
20190924;4;20190924_4_4;20190924_4_4_000;TKO;FSK;TKO + FSK;126;0.473789;265.941167903856
20190924;4;20190924_4_4;20190924_4_4_003;TKO;FSK;TKO + FSK;37;0.217628;170.014887790174
20190924;4;20190924_4_4;20190924_4_4_004;TKO;FSK;TKO + FSK;126;0.273938;459.958092707109
20190924;4;20190924_4_4;20190924_4_4_005;TKO;FSK;TKO + FSK;67;0.227972;293.8957415823
20190924;4;20190924_4_4;20190924_4_4_007;TKO;FSK;TKO + FSK;77;0.182855;421.098684750212
20190924;4;20190924_4_4;20190924_4_4_008;TKO;FSK;TKO + FSK;48;0.16885;284.275984601718
20190924;4;20190924_4_4;20190924_4_4_009;TKO;FSK;TKO + FSK;42;0.231777;181.208661774033
20190927;5;20190927_5_6;20190927_5_6_000;TKO;FSK;TKO + FSK;69;0.32758;210.635569937115
20190927;5;20190927_5_6;20190927_5_6_001;TKO;FSK;TKO + FSK;40;0.300803;132.977397166917
20190927;5;20190927_5_6;20190927_5_6_002;TKO;FSK;TKO + FSK;43;0.208382;206.351796220403
20190927;5;20190927_5_6;20190927_5_6_003;TKO;FSK;TKO + FSK;88;0.516158;170.490431224548
20190927;5;20190927_5_6;20190927_5_6_004;TKO;FSK;TKO + FSK;66;0.296917;222.284342088867
20190927;5;20190927_5_6;20190927_5_6_008;TKO;FSK;TKO + FSK;78;0.82487;94.5603549650248
20190927;5;20190927_5_6;20190927_5_6_009;TKO;FSK;TKO + FSK;125;0.609376;205.127868508113
20190927;5;20190927_5_6;20190927_5_6_010;TKO;FSK;TKO + FSK;105;0.614176;170.960766946282
20190927;5;20190927_5_6;20190927_5_6_011;TKO;FSK;TKO + FSK;104;0.473198;219.781148694627
20210111;6;20210111_6_6;20210111_6_6_001;TKO;FSK;TKO + FSK;43;0.748817;57.4239099806762
20210111;6;20210111_6_6;20210111_6_6_002;TKO;FSK;TKO + FSK;74;0.448604;164.956175156708
