BoutonID;SVdensity;Genotype;Date;Treatment;Animal;SampleID;Group
20201001_1_001;2883.916866;WT;20101001;Control;Animal 1;20101001_Animal 1_CTRL;WT
20201001_1_002;1874.711921;WT;20101001;Control;Animal 1;20101001_Animal 1_CTRL;WT
20201001_1_004;2076.212614;WT;20101001;Control;Animal 1;20101001_Animal 1_CTRL;WT
20201001_1_006;2318.574287;WT;20101001;Control;Animal 1;20101001_Animal 1_CTRL;WT
20201001_1_009;1892.962982;WT;20101001;Control;Animal 1;20101001_Animal 1_CTRL;WT
20201001_1_011;3010.789334;WT;20101001;Control;Animal 1;20101001_Animal 1_CTRL;WT
20201001_1_012;2668.638555;WT;20101001;Control;Animal 1;20101001_Animal 1_CTRL;WT
20201001_3_004;4218.090923;WT;20101001;Control;Animal 2;20101001_Animal 2_CTRL;WT
20201001_3_005;1966.665421;WT;20101001;Control;Animal 2;20101001_Animal 2_CTRL;WT
20201001_3_006;3369.196926;WT;20101001;Control;Animal 2;20101001_Animal 2_CTRL;WT
20201001_3_007;607.2441984;WT;20101001;Control;Animal 2;20101001_Animal 2_CTRL;WT
20201001_3_008;3140.202534;WT;20101001;Control;Animal 2;20101001_Animal 2_CTRL;WT
20201001_3_009;1244.048394;WT;20101001;Control;Animal 2;20101001_Animal 2_CTRL;WT
20201126_1_001;1397.326179;WT;20201126;Control;Animal 3;20201126_Animal 3_CTRL;WT
20201126_1_002;1818.337598;WT;20201126;Control;Animal 3;20201126_Animal 3_CTRL;WT
20201126_1_003;2012.132433;WT;20201126;Control;Animal 3;20201126_Animal 3_CTRL;WT
20201126_1_004;2649.592515;WT;20201126;Control;Animal 3;20201126_Animal 3_CTRL;WT
20201126_1_005;2127.214782;WT;20201126;Control;Animal 3;20201126_Animal 3_CTRL;WT
20190924_C1_2;412.4172046;TKO;20190924;Control;Animal 4;20190924_Animal 4_CTRL;TKO
20190924_C1_3;489.2432379;TKO;20190924;Control;Animal 4;20190924_Animal 4_CTRL;TKO
20190924_C1_5;656.357196;TKO;20190924;Control;Animal 4;20190924_Animal 4_CTRL;TKO
20190924_C1_6;745.0650398;TKO;20190924;Control;Animal 4;20190924_Animal 4_CTRL;TKO
20190927_C_1;911.3323903;TKO;20190927;Control;Animal 5;20190927_Animal 5_CTRL;TKO
20190927_C_2;1138.592406;TKO;20190927;Control;Animal 5;20190927_Animal 5_CTRL;TKO
20190927_C_3;364.2531796;TKO;20190927;Control;Animal 5;20190927_Animal 5_CTRL;TKO
20190927_C_4;797.702865;TKO;20190927;Control;Animal 5;20190927_Animal 5_CTRL;TKO
20190927_C_5;957.1462916;TKO;20190927;Control;Animal 5;20190927_Animal 5_CTRL;TKO
20190927_C_6;1442.065936;TKO;20190927;Control;Animal 5;20190927_Animal 5_CTRL;TKO
20190927_C_7;670.8792292;TKO;20190927;Control;Animal 5;20190927_Animal 5_CTRL;TKO
2010111_3_007;498.9495798;TKO;20210111;Control;Animal 6;20210111_Animal 6_CTRL;TKO
2010111_3_008;767.3468255;TKO;20210111;Control;Animal 6;20210111_Animal 6_CTRL;TKO
2010111_3_009;498.9495798;TKO;20210111;Control;Animal 6;20210111_Animal 6_CTRL;TKO
2010111_3_010;734.0860143;TKO;20210111;Control;Animal 6;20210111_Animal 6_CTRL;TKO
2010111_3_011;630.3674315;TKO;20210111;Control;Animal 6;20210111_Animal 6_CTRL;TKO
